GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US08005007107,8005007107,"Census Tract 71.07, Arapahoe County, Colorado",2006,1
1400000US08005007201,8005007201,"Census Tract 72.01, Arapahoe County, Colorado",1965,4
1400000US08005007202,8005007202,"Census Tract 72.02, Arapahoe County, Colorado",1957,2
1400000US08005007301,8005007301,"Census Tract 73.01, Arapahoe County, Colorado",1966,3
1400000US08005007302,8005007302,"Census Tract 73.02, Arapahoe County, Colorado",1962,2
1400000US08005007400,8005007400,"Census Tract 74, Arapahoe County, Colorado",-,**
1400000US08005007500,8005007500,"Census Tract 75, Arapahoe County, Colorado",1956,1
1400000US08005007600,8005007600,"Census Tract 76, Arapahoe County, Colorado",1961,9
1400000US08005007702,8005007702,"Census Tract 77.02, Arapahoe County, Colorado",1971,3
1400000US08005007703,8005007703,"Census Tract 77.03, Arapahoe County, Colorado",1970,3
1400000US08005007704,8005007704,"Census Tract 77.04, Arapahoe County, Colorado",1978,2
1400000US08005015100,8005015100,"Census Tract 151, Arapahoe County, Colorado",1960,2
1400000US08005080000,8005080000,"Census Tract 800, Arapahoe County, Colorado",1974,1
1400000US08005080100,8005080100,"Census Tract 801, Arapahoe County, Colorado",1978,2
1400000US08005080200,8005080200,"Census Tract 802, Arapahoe County, Colorado",1976,2
1400000US08005080300,8005080300,"Census Tract 803, Arapahoe County, Colorado",1980,3
1400000US08005080400,8005080400,"Census Tract 804, Arapahoe County, Colorado",1975,2
1400000US08005080500,8005080500,"Census Tract 805, Arapahoe County, Colorado",1979,1
1400000US08005080600,8005080600,"Census Tract 806, Arapahoe County, Colorado",1983,2
1400000US08005080700,8005080700,"Census Tract 807, Arapahoe County, Colorado",1977,1
1400000US08005080800,8005080800,"Census Tract 808, Arapahoe County, Colorado",1975,1
1400000US08005080900,8005080900,"Census Tract 809, Arapahoe County, Colorado",1966,1
1400000US08005081000,8005081000,"Census Tract 810, Arapahoe County, Colorado",1986,2
1400000US08005081100,8005081100,"Census Tract 811, Arapahoe County, Colorado",1986,1
1400000US08005081200,8005081200,"Census Tract 812, Arapahoe County, Colorado",1980,2
1400000US08005081300,8005081300,"Census Tract 813, Arapahoe County, Colorado",1980,2
1400000US08005081400,8005081400,"Census Tract 814, Arapahoe County, Colorado",1979,2
1400000US08005081500,8005081500,"Census Tract 815, Arapahoe County, Colorado",1977,2
1400000US08005081600,8005081600,"Census Tract 816, Arapahoe County, Colorado",-,**
1400000US08005081700,8005081700,"Census Tract 817, Arapahoe County, Colorado",1987,2
1400000US08005081800,8005081800,"Census Tract 818, Arapahoe County, Colorado",1976,2
1400000US08005081900,8005081900,"Census Tract 819, Arapahoe County, Colorado",1976,2
1400000US08005082000,8005082000,"Census Tract 820, Arapahoe County, Colorado",1988,2
1400000US08005082100,8005082100,"Census Tract 821, Arapahoe County, Colorado",1982,2
1400000US08005082200,8005082200,"Census Tract 822, Arapahoe County, Colorado",1982,2
1400000US08005082300,8005082300,"Census Tract 823, Arapahoe County, Colorado",1981,2
1400000US08005082400,8005082400,"Census Tract 824, Arapahoe County, Colorado",1977,2
1400000US08005082500,8005082500,"Census Tract 825, Arapahoe County, Colorado",1975,1
1400000US08005082600,8005082600,"Census Tract 826, Arapahoe County, Colorado",1987,2
1400000US08005082700,8005082700,"Census Tract 827, Arapahoe County, Colorado",1985,6
1400000US08005082800,8005082800,"Census Tract 828, Arapahoe County, Colorado",1981,2
1400000US08005082900,8005082900,"Census Tract 829, Arapahoe County, Colorado",1986,1
1400000US08005083000,8005083000,"Census Tract 830, Arapahoe County, Colorado",2005,2
1400000US08005083100,8005083100,"Census Tract 831, Arapahoe County, Colorado",2003,1
1400000US08005083200,8005083200,"Census Tract 832, Arapahoe County, Colorado",2001,1
1400000US08005083300,8005083300,"Census Tract 833, Arapahoe County, Colorado",1988,2
1400000US08005083400,8005083400,"Census Tract 834, Arapahoe County, Colorado",1986,1
1400000US08005083500,8005083500,"Census Tract 835, Arapahoe County, Colorado",1986,1
1400000US08005083600,8005083600,"Census Tract 836, Arapahoe County, Colorado",1985,1
1400000US08005083700,8005083700,"Census Tract 837, Arapahoe County, Colorado",1990,2
1400000US08005083800,8005083800,"Census Tract 838, Arapahoe County, Colorado",1978,2
1400000US08005083900,8005083900,"Census Tract 839, Arapahoe County, Colorado",1990,2
1400000US08005084000,8005084000,"Census Tract 840, Arapahoe County, Colorado",1978,2
1400000US08005084100,8005084100,"Census Tract 841, Arapahoe County, Colorado",1982,2
1400000US08005084200,8005084200,"Census Tract 842, Arapahoe County, Colorado",1982,1
1400000US08005084300,8005084300,"Census Tract 843, Arapahoe County, Colorado",1986,1
1400000US08005084400,8005084400,"Census Tract 844, Arapahoe County, Colorado",1985,2
1400000US08005084500,8005084500,"Census Tract 845, Arapahoe County, Colorado",1987,2
1400000US08005084600,8005084600,"Census Tract 846, Arapahoe County, Colorado",1978,2
1400000US08005084700,8005084700,"Census Tract 847, Arapahoe County, Colorado",1978,1
1400000US08005084800,8005084800,"Census Tract 848, Arapahoe County, Colorado",1992,1
1400000US08005084900,8005084900,"Census Tract 849, Arapahoe County, Colorado",1990,2
1400000US08005085000,8005085000,"Census Tract 850, Arapahoe County, Colorado",2002,2
1400000US08005085100,8005085100,"Census Tract 851, Arapahoe County, Colorado",-,**
1400000US08005085200,8005085200,"Census Tract 852, Arapahoe County, Colorado",2000,2
